,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s3,0 2 3009 1030 340 9411 3,0.0 0.0 1.0 1.0 1.0 1.0 0.0,11110.0,0,34520,0 2 2701 824 254 9033 7,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,38125,0 2 2707 865 272 9275 5,0.0 0.0 0.01948051948051948 0.19902912621359223 0.20930232558139536 0.6402116402116402 0.5,421.666669979043,0,37857
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36467
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 20 211 51 889 6,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,21422,0 0 38 218 58 1088 7,0.0 0.0 1.0 0.3684210526315789 1.0 1.0 0.1,10478.521052631579,0,19608,0 0 21 230 53 981 16,0.0 0.0 0.05555555555555555 1.0 0.2857142857142857 0.4623115577889447 1.0,1589.7500997048737,0,21309
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s9,0 251 884 730 152 1697 36,0.0 0.17391304347826086 0.2857142857142857 1.0 0.21739130434782608 0.8109452736318408 0.2,21278.495788140044,0,37107,0 243 866 694 147 1735 34,0.0 0.0 0.0 0.16279069767441862 0.0 1.0 0.0,172.79069767441862,0,37502,0 289 929 687 170 1534 44,0.0 1.0 1.0 0.0 1.0 0.0 1.0,110101.0,0,35405
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s7,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018,0 1 0 0 0 254 -105,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,18016,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,18018
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s4,0 2 0 0 0 424 -82,0.0 0.0 0.0 0.0 0.0 0.0 0.2222222222222222,0.2222222222222222,0,22919,0 2 0 0 0 429 -75,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,22911,0 2 0 0 0 424 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,22921
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s6,0 16 1047 635 238 3490 36,0.0 0.2222222222222222 0.9333333333333333 0.8809523809523809 1.0 1.0 1.0,32547.507936507936,0,27783,0 14 1033 640 233 3450 31,0.0 0.0 0.0 1.0 0.8 0.0 0.6666666666666666,1080.6666666666667,0,28059,0 23 1048 598 213 3474 21,0.0 1.0 1.0 0.0 0.0 0.6 0.0,110006.0,0,26542
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,166
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s6,0 2 2 0 0 326 -163,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,19620,0 2 2 0 0 326 -164,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,19621,0 2 2 0 0 326 -164,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,19621
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s1,0 2 151 513 188 2878 -52,0.0 0.0 0.0 0.0 1.0 0.0 0.3333333333333333,100.33333333333333,0,47028,0 2 151 549 187 2915 -48,0.0 0.0 0.0 0.4444444444444444 0.9411764705882353 0.3557692307692308 1.0,543.1197838109601,0,46540,0 2 157 594 171 2982 -54,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,45212
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s3,0 0 0 0 0 90 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,196,0 0 0 0 0 89 -33,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,198,0 0 0 0 0 90 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,196
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s5,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,3965
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s9,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,100
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s7,0 2 0 31 1 999 -8,0.0 0.0 0.0 1.0 1.0 1.0 1.0,1111.0,0,20143,0 2 0 0 0 430 -123,0.0 0.0 0.0 0.0 0.0 0.017271157167530225 0.0,0.17271157167530224,0,22107,0 2 0 0 0 420 -120,0.0 0.0 0.0 0.0 0.0 0.0 0.02608695652173913,0.02608695652173913,0,22121
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s4,0 2 0 0 0 150 -75,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,16421,0 2 0 0 0 150 -77,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,16423,0 2 0 0 0 150 -75,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,16421
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s1,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,8535,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,8535,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,8535
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s7,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,120
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s0,0 1 0 0 0 94 -30,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,19020,0 1 0 0 0 94 -30,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,19020,0 1 0 0 0 94 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,19021
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s3,0 0 2 244 25 1529 -3,0.0 0.0 0.25 0.984375 1.0 0.7763157894736842 0.6363636363636364,3592.7745215311,0,17822,0 0 8 245 21 1614 -24,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,17763,0 0 0 181 22 1234 9,0.0 0.0 0.0 0.0 0.25 0.0 1.0,26.0,0,18016
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s1,0 0 6 147 17 773 17,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0,26426,0 0 4 48 1 520 -12,0.0 0.0 0.0 0.029411764705882353 0.0 0.01171875 0.12121212121212122,29.650164327094473,0,28568,0 0 4 45 1 517 -16,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,28627
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s6,0 0 2 6 0 81 -59,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,24739,0 0 2 6 0 81 -58,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,24738,0 0 2 6 0 81 -59,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,24739
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s8,0 1 122 138 45 1382 49,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,54585,0 1 160 210 65 1439 45,0.0 0.0 0.4418604651162791 0.7659574468085106 0.5 0.5229357798165137 0.7894736842105263,5240.580929453678,0,52153,0 1 208 232 85 1491 30,0.0 0.0 1.0 1.0 1.0 1.0 0.0,11110.0,0,50350
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s2,0 0 0 0 0 79 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,168,0 0 0 0 0 79 -21,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,167,0 0 0 0 0 79 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,168
