,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 173 -86,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.05,346,0 0 0 0 0 201 -78,0.0 0.0 0.0 0.0 0.0 0.08045977011494253 0.21052631578947367,1.0151240169388989,0.65,90,0 0 0 0 0 521 -48,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.28809523809523807,59
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s8,41 296 3771 1882 273 6051 -18,1.0 1.0 0.6863309352517986 1.0 0.3103448275862069 1.0 0.0,1107904.3438352768,0.01,2958,8 276 3989 1292 255 5813 79,0.0 0.7333333333333333 1.0 0.3458980044345898 0.0 0.3850129198966408 1.0,83684.08146696689,0.8114285714285714,3682,16 221 3294 980 313 5664 39,0.24242424242424243 0.0 0.0 0.0 1.0 0.0 0.5876288659793815,242524.83005310842,0.7914285714285715,4977
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s3,22 29 3393 11981 6 9731 -7,0.0 1.0 0.09558823529411764 0.0 1.0 0.0 1.0,101056.88235294117,0.6014285714285714,4747,23 7 3367 13576 6 10023 -63,1.0 0.0 0.0 0.29779686333084393 1.0 0.5318761384335154 0.6164383561643836,1000403.7320630713,0.6457142857142857,5922,22 8 3639 17337 3 10280 -153,0.0 0.045454545454545456 1.0 1.0 0.0 1.0 0.0,15555.454545454546,0.6457142857142857,5829
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n10-d28-r0.10-rp0-fp0-s8,1 2 0 2 0 89 -16,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.03571428571428571,3571,0 1 116 38 4 522 14,0.0 0.0 1.0 0.7058823529411765 0.26666666666666666 1.0 1.0,10743.549019607843,0.7142857142857143,30296,0 2 34 53 15 465 -4,0.0 1.0 0.29310344827586204 1.0 1.0 0.8683602771362586 0.4,104040.11808552998,0.42857142857142855,27977
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s5,9 7 228 391 17 1310 41,1.0 1.0 0.0 0.0 0.46875 0.0 0.0,1100046.875,0.01904761904761905,6406,0 0 561 2972 2 2285 59,0.0 0.0 1.0 1.0 0.0 1.0 0.36,11010.36,0.6333333333333333,4513,0 0 529 1191 34 2016 91,0.0 0.0 0.9039039039039038 0.30995738086013175 1.0 0.7241025641025641 1.0,9457.237445540197,0.6404761904761904,4506
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s9,7 115 295 280 50 588 -41,0.0 0.0 1.0 1.0 1.0 0.0 0.0,11100.0,0.009523809523809525,6574,16 215 126 190 32 985 45,0.6923076923076923 0.6756756756756757 0.03977272727272727 0.0 0.0 1.0 1.0,760283.9871479871,0.6452380952380953,11339,20 263 119 201 32 789 33,1.0 1.0 0.0 0.12222222222222222 0.0 0.5062972292191436 0.8604651162790697,1100128.145659631,0.6357142857142857,11992
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s7,7 69 1290 4003 24 4567 138,1.0 1.0 0.29357798165137616 1.0 0.0 0.35353535353535354 0.125,1103939.440170049,0.6267857142857143,5303,4 34 1367 2491 40 4695 137,0.4 0.0 1.0 0.0 1.0 1.0 0.0,410110.0,0.6678571428571428,6724,2 49 1258 3623 24 4497 145,0.0 0.42857142857142855 0.0 0.7486772486772487 0.0 0.0 1.0,43606.8201058201,0.6410714285714286,5147
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s4,16 12 3133 15117 0 9491 9,1.0 0.0 1.0 1.0 0.0 1.0 0.0,1011010.0,0.6157142857142858,5871,10 241 1764 6900 18 6130 130,0.0 1.0 0.07186440677966102 0.10059106830122592 1.0 0.052972668357283745 1.0,100920.7648627814,0.6985714285714286,3581,14 224 1658 5981 13 5942 128,0.6666666666666666 0.925764192139738 0.0 0.0 0.7222222222222222 0.0 0.9834710743801653,759316.291573937,0.66,3369
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s6,13 210 773 907 132 1689 26,1.0 0.0 0.0 0.572463768115942 0.7666666666666667 0.20425531914893616 0.0,1000651.1729879741,0.011904761904761904,5365,8 239 1236 966 139 1876 67,0.0 0.25892857142857145 1.0 1.0 1.0 1.0 1.0,37003.857142857145,0.7761904761904762,8131,11 322 1189 828 109 1641 54,0.6 1.0 0.8984881209503239 0.0 0.0 0.0 0.6829268292682927,708985.5641363326,0.7833333333333333,6500
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 81 -76,0.0 0.0 0.0 0.0 0.0 0.75 0.0,7.5,0.07857142857142857,320,0 0 0 0 0 78 -71,0.0 0.0 0.0 0.0 0.0 0.0 0.12195121951219512,0.12195121951219512,0.6285714285714286,145,0 0 0 0 0 82 -35,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.07857142857142857,431
