,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s9,0 0 0 0 0 169 -28,0.0 0.0 0.0 0.0 0.0 0.84375 1.0,9.4375,0.5821428571428572,39,0 0 0 0 0 88 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6071428571428571,98,0 0 0 0 0 184 -39,0.0 0.0 0.0 0.0 0.0 1.0 0.15384615384615385,10.153846153846153,0.525,76
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s4,17 188 1277 775 93 3823 130,1.0 1.0 0.6195652173913043 0.5409836065573771 0.0 0.0 1.0,1106737.6357804704,0.5410714285714285,35047,1 69 1382 887 195 5001 65,0.0 0.23717948717948717 1.0 1.0 1.0 1.0 0.1095890410958904,34828.05830698981,0.6598214285714286,34829,2 32 1106 643 115 4001 57,0.0625 0.0 0.0 0.0 0.21568627450980393 0.15110356536502548 0.0,62523.07966310463,0.64375,32930
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s9,0 0 0 0 0 1503 -105,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.4635714285714286,22,0 0 0 0 0 453 -139,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6921428571428572,242,0 0 0 0 0 1502 -124,0.0 0.0 0.0 0.0 0.0 0.9990476190476191 0.4411764705882353,10.431652661064426,0.4542857142857143,51
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s0,23 269 2377 1455 275 4531 -26,1.0 0.0 0.0 0.2305084745762712 0.5232558139534884 0.8469750889679716 0.0,1000291.3038068613,0.013571428571428571,1685,1 494 3601 1682 316 4574 20,0.0 0.9782608695652174 1.0 1.0 1.0 1.0 0.4842105263157895,108936.57116704805,0.7842857142857143,10761,6 499 2847 1387 230 4293 69,0.22727272727272727 1.0 0.3839869281045752 0.0 0.0 0.0 1.0,331113.59655377304,0.7842857142857143,11358
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s8,0 0 0 0 0 920 -100,0.0 0.0 0.0 0.0 0.0 0.9931153184165232 0.9411764705882353,10.872329654753468,0.4392857142857143,54,0 0 0 0 0 343 -132,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6526785714285714,193,0 0 0 0 0 924 -98,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.43839285714285714,57
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s8,18 4 0 5 0 116 -115,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.007142857142857143,1072,0 0 2 116 6 631 -10,0.0 0.0 1.0 1.0 1.0 0.9163701067615658 1.0,11110.163701067615,0.6392857142857142,16523,0 0 2 50 2 678 -15,0.0 0.0 1.0 0.40540540540540543 0.3333333333333333 1.0 0.9523809523809523,10449.69111969112,0.7011904761904761,20003
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s1,10 4 2 2 0 77 -28,1.0 1.0 1.0 1.0 0.0 0.0 0.0,1111000.0,0.010714285714285714,357,0 1 0 0 0 85 -25,0.0 0.0 0.0 0.0 0.0 0.08695652173913043 1.0,1.8695652173913042,0.7142857142857143,42730,0 1 0 0 0 169 -28,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.5964285714285714,13922
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s5,20 399 616 917 158 2112 39,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.017857142857142856,1659,0 373 1902 1475 262 3161 59,0.0 0.2571428571428571 0.842174197773412 1.0 0.832 0.7371749824314828 0.9090909090909091,35227.50853275323,0.7857142857142857,14655,4 364 2143 1434 283 3535 61,0.2 0.0 1.0 0.9265232974910395 1.0 1.0 1.0,211037.52329749105,0.7705357142857143,12053
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s6,5 4 1 2 0 85 -21,1.0 1.0 0.0 1.0 0.0 0.0 0.5,1101000.5,0.017857142857142856,39137,0 1 2 0 0 90 -20,0.0 0.0 1.0 0.0 0.0 0.07042253521126761 1.0,10001.704225352112,0.6607142857142857,19345,0 1 2 0 0 156 -22,0.0 0.0 1.0 0.0 0.0 1.0 0.0,10010.0,0.4857142857142857,14324
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s4,4 11 4 7 0 99 -19,1.0 1.0 1.0 1.0 0.0 0.0 1.0,1111001.0,0.03214285714285714,342,0 1 0 0 0 112 -30,0.0 0.0 0.0 0.0 0.0 0.2765957446808511 0.0,2.765957446808511,0.6714285714285714,24642,0 1 0 0 0 146 -23,0.0 0.0 0.0 0.0 0.0 1.0 0.6363636363636364,10.636363636363637,0.3678571428571429,15854
